signal_indices,signal_data
158898,435
158898,456
159009,452
159030,430
159033,450
159038,492
159042,457
159042,479
159125,523
159128,458
159390,475
159390,414
159402,488
159406,457
159492,413
159496,443
159500,431
159500,470
159517,482
159521,402
159560,392
159766,440
159775,462
159796,556
159796,485
159832,431
159840,467
159844,483
159861,437
159865,390
159877,560
159877,573
159881,450
160127,433
160139,569
160143,553
160147,434
160238,427
160238,438
160254,567
160258,499
160266,416
160283,540
160287,541
160287,420
160365,457
160369,555
160369,440
160381,434
160627,481
160631,462
160729,422
160741,564
160745,497
160975,408
160975,434
161020,440
161134,401
161250,485
161435,410
161435,431
161716,434
161999,413
162036,399
162040,409
162171,446
162175,495
162179,433
162249,460
162359,408
162359,464
162736,406
162740,469
162851,482
162851,427
162916,449
162916,438
163113,513
163117,470
163228,496
163228,394
163375,499
163379,511
163379,414
163490,464
163617,433
163658,404
163729,394
163731,402
163977,433
163981,406
164092,440
164342,433
164354,585
164358,503
164370,481
164370,424
164383,560
164387,537
164391,418
164452,431
164452,393
164464,538
164468,576
164473,457
164481,484
164714,414
164718,391
164731,530
164731,580
164735,463
164841,607
164845,584
164849,462
165206,412
165249,533
165249,509
165263,413
165267,542
165267,431
165279,539
165283,456
165329,446
165340,577
165340,467
165349,396
165458,440
165460,446
165595,508
165595,538
165617,439
165984,459
165988,476
166054,525
166058,539
166058,432
166099,404
166256,417
166256,426
166256,423
166320,422
166324,426
166324,399
166336,421
166795,390
166836,429
166840,401
166951,525
166955,445
167536,397
168278,395
168458,436
168458,443
168622,424
168716,426
168945,429
168949,390
169449,403
169793,392
169822,486
169826,532
169830,414
169936,583
169936,529
169936,410
170059,437
170170,415
170186,550
170190,489
170199,411
170219,417
170297,413
170301,516
170301,407
170313,420
171070,536
171070,456
171177,420
171177,519
171182,414
171280,394
171804,517
171804,470
171874,456
171878,453
171915,533
171919,430
171931,449
172152,527
172156,547
172160,445
172611,472
172634,505
172634,420
172668,442
172672,432
172681,472
172685,497
172783,455
172795,472
172799,430
172894,409
172897,492
172936,464
172939,469
173160,411
173160,523
173164,441
173352,426
173356,477
173360,414
173418,419
173422,491
173532,452
173537,430
173647,502
173651,509
173651,469
173676,449
173680,453
174098,454
174098,422
174303,501
174307,439
174413,390
174417,494
174417,470
174421,422
174529,471
174529,455
174557,542
174557,507
174854,470
174854,478
174886,401
175150,480
175172,450
175172,431
175172,420
175172,426
175265,408
175294,392
175298,394
175617,411
175621,403
175900,407
175900,405
176035,475
176039,478
176776,394
176776,396
177237,479
177237,465
177972,519
177976,515
177981,398
178296,393
178435,451
178435,435
178612,428
178714,486
178718,512
178718,418
179037,430
179037,434
179148,425
179172,476
179177,499
179181,490
179566,407
179570,422
179570,423
179779,424
179779,424
179914,459
179918,469
180246,411
180374,476
180377,481
180655,443
180655,471
180659,391
180966,408
180975,413
180979,417
180983,579
180983,603
180987,605
180991,491
181012,429
181012,446
181093,562
181098,493
181110,425
181114,433
181114,423
181396,416
181720,392
181862,393
181862,424
182597,524
182601,599
182605,486
182617,434
182711,538
182716,534
182720,413
182978,416
182978,406
183055,415
183334,424
183334,455
183469,469
183842,580
183846,512
183846,395
183952,477
183956,526
183956,411
184446,399
185219,526
185219,431
185456,433
185460,518
185464,410
185570,493
185574,473
185685,501
185689,436
186324,471
186434,428
186438,469
186443,475
186701,423
186701,488
186811,474
186815,446
186926,509
186930,427
186955,455
186959,432
187565,422
187569,475
187680,468
187680,466
188056,474
188056,434
188171,470
188433,478
188544,461
188548,500
188587,473
188587,396
189707,410
189711,468
189822,453
189822,428
189933,452
189936,395
190055,448
190543,457
190547,427
191030,426
191034,447
191435,404
191439,442
191550,434
191554,428
191894,405
192156,447
192160,395
192660,428
193020,413
193025,409
193135,430
193397,440
193512,455
193774,504
193778,406
193885,447
193889,483
194003,468
